"term","nss.1987","nss.1988","nss.1990","nss.1991","nss.1993","nss.1994","nss.1995","nss.1996","nss.1997","nss.1998","nss.1999","nss.2001","nss.2002","nss.2006","nss.2010","nss.2015","termc"
"antiballist",0,1,1,0,0,0,2,1,1,1,2,2,0,1,0,0,"antiballistic"
"antibiot",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"antibiotic"
"antibriberi",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,""
"anticip",1,1,0,0,2,0,0,1,0,0,1,1,1,1,1,0,"anticipate"
"anticipatori",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,""
"anticom",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anticom"
"anticommunist",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anticommunist"
"anticorrupt",0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,"anticorruption"
"antidemocrat",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"antidemocratic"
"antidot",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"antidote"
"antidrug",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"antidrug"
"antidump",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"antidumping"
"antifre",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"antifree"
"antiislam",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"antiislamic"
"antimissil",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"antimissile"
"antinarcot",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"antinarcotics"
"antinuclear",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"antinuclear"
"antipersonnel",0,0,0,0,0,0,1,1,2,3,2,2,0,0,0,0,"antipersonnel"
"antisatellit",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"antisatellite"
"antismuggl",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"antismuggling"
"antisubmarin",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"antisubmarine"
"antitank",0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,"antitank"
"antiterror",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"antiterrorism"
"antiterrorist",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"antiterrorist"
"antiwestern",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"antiwestern"
"anuari",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""
"anvil",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anvil"
"anxieti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"anxieties"
"anyon",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"anyone"
"anyth",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"anything"
"anytim",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"anytime"
"anywher",0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,"anywhere"
"anzus",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"anzus"
"apabi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"apabi"
"apart",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,"apart"
"apartheid",1,3,1,0,0,1,2,2,0,0,0,0,0,0,0,0,"apartheid"
"apd",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"apd"
"apdf",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"apdf"
